Title,Link,Article
Police want motorists' video of UPS truck shooting,https://abcnews.go.com/US/wireStory/investigators-motorists-videos-ups-truck-shooting-67596040,"
Family and friends honored on Monday a UPS driver who was killed in a         shootout between Florida police and the robbery suspects who had hijacked his delivery truck. 
Loved ones filed by Frank Ordonez's open casket at a Miami funeral home to pay respects to the 27-year-old driver. Some UPS employees showed up in the brown company uniform to express condolences to Ordonez's family. Other UPS drivers pulled their delivery trucks over beside the road to observe a minute of silence for their coworker, according to the union Teamsters Local 769.
On Sunday night at a UPS Customer Center, relatives and friends gathered for a vigil, lit candles and wrote messages on UPS slips they stuck to a car. UPS workers abroad have also joined in to express support— one group from London         tweeted  a photo showing uniformed workers holding up letters that together spelled #ONE UPS and RIP Frank Ordonez.
More than a dozen officers from four agencies had converged Thursday on the UPS truck at a busy South Florida intersection during rush hour, taking cover behind the vehicles of people stopped at a red light amid bursts of gunfire. The 27-year-old UPS driver and another motorist stopped at the light, Richard Cutshaw, were killed along with the suspects. 
The Florida Department of Law Enforcement appealed Monday for anyone who witnessed or has video of the shootout between police and the hijackers of a UPS truck to contact the agency.
The shooting is being investigated by the state agency in part because it involved four police agencies and more than a dozen officers. 
The chase began after a jewelry store robbery in Coral Gables, where a woman was struck in the head by a ricocheting bullet. Authorities said 41-year-old cousins Lamar Alexander and Ronnie Jerome Hill fled the store, hijacked Ordonez's UPS truck and led police on a chase on Interstate 75. The truck got off the interstate and drove into Miramar before getting stuck at a busy intersection.
The chase and final shootout were broadcast live on television, including the moment when one of the men tumbled out of the truck, mortally wounded. News coverage included videos taken by motorists.
————
This story has been corrected to show that the slain motorist's name was Richard Cutshaw, not Richard Cutsaw.
————
Associated Press writer Freida Frisaro contributed to this report from Miami."
"UPS driver, bystander, suspects identified from Florida shootout that left 4 dead",https://abcnews.go.com/US/witnesses-describe-shootout-left-dead-theft-ups-truck/story?id=67543974,"
An attempted jewelry store robbery that led to the theft of a UPS truck, a hostage situation and a police shootout that ultimately left two ""innocent civilians,"" including a UPS driver, dead has shaken the Florida community to its core.

UPS identified the driver as Frank Ordonez, according to a statement obtained by ABC News on Friday.

He'd had worked with the company since July 2016, first as a package handler and then as a service provider, also known as a driver.
""We extend our deepest condolences to his family and friends and the other innocent victims involved in this incident,"" UPS said in the statement.
The incident started around 4:15 p.m. local time when two men attempted to rob Regent Jewelers in Coral Gables, authorities said. After shots were fired, the suspects carjacked the UPS truck, held the driver, Ordonez, hostage and led police on a high-speed pursuit before engaging in a shootout.

The two suspects, identified by the FBI as Lamar Alexander, 41, and Ronnie Jerome Hill, 41, both of Miami-Dade County, were killed in the shootout, FBI Special Agent in Charge George Piro told reporters.The FBI identifies the two deceased individuals responsible for yesterday's jewelry store robbery, carjacking/kidnapping and shootings as Lamar Alexander, 41, and Ronnie Jerome Hill, 41, both of Miami-Dade County. If anyone has information about these crimes, call 1-855-352-7233— FBI Miami (@FBIMiamiFL) December 6, 2019 The FBI identifies the two deceased individuals responsible for yesterday's jewelry store robbery, carjacking/kidnapping and shootings as Lamar Alexander, 41, and Ronnie Jerome Hill, 41, both of Miami-Dade County. If anyone has information about these crimes, call 1-855-352-7233
Two ""innocent civilians,"" Ordonez and a bystander, were killed amid gunfire, Piro said. Family members told ABC News that Richard Cutshaw, a 70-year-old union representative, was the bystander shot and killed.
It's not yet clear whether the two died from gunfire by law enforcement or the suspects.

Alex Melo, a witness, told ABC News he has been ""nervous beyond belief"" since seeing the incident unfold.

""You have chills in your body seeing the scene. … It's not something, an ordeal, you live through on a daily basis,"" Melo said Friday morning.

Melo was in a car with Sheila Cabrera when the two said they were stuck in an intersection of the highway in Miramar as the shootout erupted during rush hour Thursday afternoon.

As the shootout broke out, Cabrera said she and Melo ""could not move"" from their car.
""Next thing you know, we were in the middle of it all,"" she told ABC News. ""All I could think of was a stray bullet coming towards us.""

She described seeing ""a river of police"" flooding the highway in pursuit of the UPS truck.
Miramar Mayor Wayne Messam called the deadly incident an ""unprecedented event that took place in our quiet community.""

Messam said authorities are still gathering information, with the FBI taking the lead in the case and the Florida Department of Law Enforcement also investigating.
Joe Merino, the stepfather of Ordonez, told ABC News the family is looking for answers as to exactly what happened and condemned what he called ""excessive force"" by the police.

""Officers are here to serve and protect. Well, where was the protection offered of my son? Where was his protection?"" Merino said. ""He was a victim. He was a hostage.""

He called Ordonez's death ""avoidable.""

""It could've been handled differently,"" Merino said.

Ordonez leaves behind two daughters, ages 3 and 5. Cutshaw leaves behind his 99-year-old mother and five brothers and sisters.

ABC News' Jim Vojtech, Will Gretsky, Justin Doom and Karma Allen contributed to this report."
Tips,https://abcnews.go.com/US/tip-share-abc-news/story?id=61304290,"
ABC News reaches hundreds of millions of Americans every month, far more than any other outlet, making it the country’s number-one news source.

Our award-winning investigative journalists cover national security, political corruption, human rights, consumer concerns and other issues for Good Morning America, World News Tonight with David Muir, Nightline, 20/20, and ABC News Live (our 24/7 streaming channel) as well as the network's three digital brands: abcnews.com, goodmorningamerica.com and fivethirtyeight.com.

We encourage anyone to reach out to discuss potential news stories that may be in the public interest. You can reach us via email at news.tips@abc.com or by phone at (212) 456-2828 with the understanding that the information you provide might be used in our broadcasts or other stories.

If you have a question or comment about an ABC News program or ABC network show, please call Audience Relations at (818) 460-7477 or contact another department.

ABC News can also be reached through several other channels that provide a more secure pathway for communication. While no system is 100% secure, using one of the methods listed below can help protect the privacy of your communication to us.
SIGNAL

Signal is an app with end-to-end encryption that allows you to send text, voice, video, document and picture messages. “We can’t read your messages or see your calls, and no one else [other than the intended recipient] can either,” its developers say.

You can contact us via Signal at (646) 256-5457.

WHATSAPP

WhatsApp, which is owned by Facebook, is an app with end-to-end encryption that allows you to send text, voice, video, document and picture messages. “Your messages and calls are secured so only you and the person you’re communicating with can read or listen to them, and nobody in between, not even WhatsApp,” the company says.

You can contact us via WhatsApp at (646) 256-5457.

POSTAL MAIL

ABC News Investigative Unit

7 West 66th St.

New York, NY 10023"
'Start Here': House report on Trump impeachment and Harris suspends 2020 campaign,https://abcnews.go.com/US/start-here-house-report-trump-impeachment-kamala-harris-suspends/story?id=67470297,"
It's Wednesday, Dec. 4, 2019. Let's start here.

1. Impeachment report

Democrats on the House Intelligence Committee have released their impeachment report, accusing President Donald Trump of a “scheme” involving pressuring Ukraine for his own personal and political gain, and obstructing Congress by instructing the White House to stonewall the inquiry.

On today's ""Start Here,"" ABC News Senior National Correspondent Terry Moran talks about the case laid out by Committee Chairman Adam Schiff in releasing the report, ""This was his moment, it felt like, to try his best to communicate what he believes is the very tremendous gravity of the charges against the president and the impact it would have on the rule of law and our democracy going forward if the president was allowed to just walk away from the conduct that Schiff believes the evidence shows he engaged in.""Rep. Adam Schiff: ""Americans should care deeply about whether the president of the United States is betraying...that oath that he took to the Constitution."" ""If we don't care about this, we can darn well be sure the president will be back at it."" https://t.co/YNslsSpPLT pic.twitter.com/twJ1S2eP1i
In a separate report, Republicans on the committee argue there's no evidence that the president acted to help his own re-election. Trump, overseas in London for the NATO summit, blasted Schiff and Democrats, insisting, ""I did nothing wrong.""

The impeachment inquiry enters a new phase today with the House Judiciary Committee holding its first public hearing. The White House has rejected Democrats’ offer to participate.

2. Harris suspends campaign

In a major shake-up in the 2020 race, Sen. Kamala Harris, D-Calif., has suspended her presidential run amid reports that her campaign was in turmoil.It has been the honor of my life to be your candidate. We will keep up the fight. pic.twitter.com/RpZhx3PENl
There are now 15 candidates in the running for the Democratic nomination, and now with Harris dropping out of the race, the remaining six hopefuls who have qualified for this month's debate are all white, FiveThirtyEight Editor-in-Chief Nate Silver notes on the podcast.

""I think you're going to start seeing a round of stories about how is this process working,"" he says. ""Is the process going well when candidates like Kamala Harris drop out two months before Iowa votes, and then you have [Mike] Bloomberg and [Tom] Steyer kind of crashing, so to speak, the party.""
3. Trade tensions

There are new trade tensions between the U.S. and France as the Trump administration threatens tariffs on $2.4 billion in French imports in retaliation for France's taxes on U.S. tech companies.

In a photo op on Tuesday with French President Emmanuel Macron, Trump downplayed the dispute and predicted, ""I think we’ll probably be able to work it out.""

But Wall Street slumped as investors reacted to the president's comments about waiting until after the 2020 election to make a trade deal with China, according to ABC News White House Correspondent Karen Travers in London.

""[Trump] says he's more than willing to wait this out and not settle for something, but the Chinese say well we're the ones that don't have a re-election next year, so the pressure is more on President Trump,"" she tells the podcast.
""Start Here,"" ABC News' flagship podcast, offers a straightforward look at the day's top stories in 20 minutes. Listen for free every weekday on Apple Podcasts, Google Podcasts, iHeartRadio, Spotify, Stitcher, TuneIn or the ABC News app. Follow @StartHereABC on Twitter, Facebook and Instagram for exclusive content and show updates.

Elsewhere:

'Strange incident': A dog in the United Kingdom inadvertently started a kitchen fire when it somehow managed to turn on a microwave in its owner’s home.

'Time to leave the roost': Google's founders Larry Page and Sergey Brin -- who built the tech giant 20 years ago with servers in a garage -- announced on Tuesday that they are stepping down as CEO and president, respectively, from the company.

'Of the highest order': A New York federal appeals court ruled Tuesday morning that Deutsche Bank must turn over copies of President Donald Trump's financial records subpoenaed by the House Intelligence and Financial Services committees, marking the latest blow to the president's effort to keep his financial records private.

'New interest in the case': Decades after a teenage girl was stabbed to death at her grandparents' home, DNA and genetic genealogy have been used to identify her suspected killer -- a man dead for years.

From our friends at FiveThirtyEight:

'Why Kamala Harris’s campaign failed': Kamala Harris dropped out of the presidential race on Tuesday, and she’s probably the most significant candidate to do so to date. The senator from California was polling about as well as any candidate outside of the four leading contenders (Joe Biden, Pete Buttigieg, Bernie Sanders and Elizabeth Warren). She was one of only seven candidates who have qualified for the December debate. And in a field that has become dominated by white and male candidates, she was one of the few female and nonwhite contenders.

Doff your cap:

A ""perfectly healthy"" rescue puppy with a surprising physical feature that makes him extra special has now been adopted by the founder of the organization who made him famous.

Narwhal, the 10-week-old furball who has a small tail-like growth on his forehead, was adopted by Rochelle Steffen, the founder of Mac's Mission -- a nonprofit dog rescue that predominately helps pups with special needs.
""He had x-rays and a vet visit ... and is a perfectly healthy puppy, with an extra tail on his face,"" Steffen said. ""There is no medical need to remove it currently and it is a third the size of his actual tail.""

""We really love our little Narwhal and the others he is helping here with the attention,"" said Steffen.
"
Boy's relative left him on the road because he thought the boy was gay: Police,https://abcnews.go.com/US/boys-relative-abandoned-side-road-thought-boy-gay/story?id=67470248,"
A Florida man has been charged with negligent child abuse after police said he dumped a boy, who he is related to, on the side of the road because he ""thinks that [the boy] is gay.""

Evenaud Julmeus, 30, of Haines City, was arrested Monday after local police found the boy alone in front of the Haines City Police Department, according to an arrest affidavit obtained by ABC News.

Julmeus allegedly told the boy before leaving him that ""the police will find you a new home.""
The two allegedly got into a verbal argument over the boy's sexuality when Julmeus found gay pornography on his phone.

Julmeus ""became very upset,"" according to the affidavit.
He told the boy to get in the car and pack a bag, which the boy did, the affidavit read.
Julmeus then allegedly took the boy to the Haines City Police Department, where he is said to have dropped him off on the side of the road in front of the building before heading back home.

Detectives noted that the boy ""did not have any food, water or money"" or a phone to contact anyone, according to the affidavit.

Police said in the affidavit that the boy's mother rushed to pick him up when Julmeus returned to their home without him and said the boy was at the police station.

A spokesman for Haines City police told ABC News that they would not detail the relationship between the boy because he is a minor and they want to protect his identity.
When authorities went to the home to find Julmeus, they found he was not there and left two other minors without adult supervision.

Julmeus is facing three counts of negligent child abuse. Calls to Julmeus were not returned and it was not immediately clear if he had yet obtained legal representation.

ABC News' Matt Zarrell contributed to this report. "
School crowns all-girls chess team at pep rally after big win at state championship,https://abcnews.go.com/US/school-crowns-girls-chicago-chess-team-pep-rally/story?id=67552484,"
A group of three eighth grade girls brought home a big win during an Illinois state chess tournament.

And to celebrate, their classmates made more noise than you would ever expect for competitors in a chess tournament -- at a pep rally.
With families and friends alike, Shakira Luster, 13, Trechelle Williams, 14, and Imani Hill, 14, ruled the halls of St. Ethelreda School, on the South Side of Chicago.

Together, they took the third, fourth and 10th places at November's Illinois State All Grade Chess Championship.
""The pep rally was very empowering because we could see how our fellow classmates are looking up to us, believing in us and celebrating us for winning,"" Imani said in excitement.

While this deserved win was more than enough reason to celebrate, chess holds a special place in the experiences for the students at St. Ethelreda School.
Eric Luster, the chess coach and a math teacher at St. Ethelreda, as well as Shakira's father, has a longtime love of the game.

""As a casual chess player myself -- and looking at the research on how chess can help improve students' math scores -- I wanted to create a chess team here at the school,"" Luster told ABC News. ""We've been playing chess here for over seven years now, and we have definitely seen an improvement in math scores and an overall growth in academic performance, particularly for the students who participated in the team.""

In those past seven years, the chess team has grown to become a source of community and fun for students.
""There is something about being a member of the chess team here. You might not be an athlete, you might not be the smartest kid in the classroom, but you're still on the team,"" said Dr. Denise Spells, principal of St. Ethelreda School. ""You get on the bus to go to your tournaments. You come in your T-shirts ready to play. We, as a school, win a trophy and everybody is happy. It's our own little community.""

Although St. Ethelreda School has collected a fair amount of trophies, these state wins have been historic.
""First off, we're talking all girls -- that hasn't happened in the state's history that just a group of all girls went as a team and won the state championship,"" Luster said. ""Second, we're talking about a group of African American girls, and I don't think that's happened in the state's history either.""
""We always thought we were the best eighth grade team, but when we actually won, it felt empowering to know that we made history,"" Trechelle said.

Spells wanted to do something big for the girls to show them how proud the entire school was of them, she said. As Shakira, Trechelle and Imani walked through the hallways of St. Ethelreda School, they were crowned alongside Luster, their coach, to make them feel like kings and queens of the school.
""Because the chessboard is ruled by the king, and the most important piece is the queen, they decided to crown us at the pep rally -- which surprised us because we were not expecting it,"" Luster said.

Winning at the state championships, in many ways, is really just the beginning for these girls.

""Being on the chess team means a lot to me because it has helped out with my math and test scores a lot,"" Shakira said. ""So the more I play chess, the more I feel like my scores are going up.""

And to that, checkmate. "
New York City dumping homeless to New Jersey to live in decrepit buildings: Lawsuit,https://abcnews.go.com/US/york-city-dumping-homeless-jersey-live-decrepit-buildings/story?id=67458182,"
A program designed to help curb homelessness in New York City has turned Newark, New Jersey, and surrounding area into a dumping ground for needy families, according to a new lawsuit.

People who had been in shelters are being placed in uninhabitable or illegal apartments, some with no heat or electricity, some with crumbling ceilings and floors, the suit, filed at the behest of Newark Mayor Ras Baraka, alleges.

The suit, filed on Monday in U.S. District Court in New Jersey, accused New York City Mayor Bill de Blasio and Steven Banks, commissioner of the city's Department of Homeless Services, of orchestrating an ""ill-conceived, surreptitious"" program that's become a public nuisance.
The lawsuit contends New York's Special One-Time Assistance program, or SOTA, has ""unlawfully coerced"" people into leaving the city's shelters for dilapidated, rodent-invested housing in neighboring communities.
Under SOTA, launched by the de Blasio administration in August 2017, the city offers families that have been in shelters for at least 90 days housing subsidies for up a year as long as the heads of households work and earn income for future rental payments.

But participants of the program have said the subsidies are not enough for them to live in New York, so they're being shipped to more affordable communities, where they're virtually abandoned in substandard housing, according to the lawsuit.

While the program requires New York's Department of Homeless Services to conduct walk-throughs of apartments before placing people in them, the lawsuit contends that's rarely happened.
""Defendants have caused a public nuisance that has significantly harmed any considerable number of Newark's residents and the State of New Jersey residents,"" reads the lawsuit.

Newark leaders, who have outlawed SOTA in the city, claim 2,200 families have been placed in 62 New Jersey towns, including 1,198 in Newark.

""New York has continued to send people despite us having several discussions about our problems with their program,"" Newark's corporation counsel, Kenyatta Stewart, told the Newark Star-Ledger. ""We need to get a judge involved so they can stop shipping people to Newark.""
Elizabeth, New Jersey, Mayor J. Christian Bollwage said in a statement Tuesday afternoon it was ""strongly considering going forward in joining Newark"" in a possible class-action lawsuit.

Avery Cohen, de Blasio's deputy press secretary, blasted the lawsuit in a statement to ABC News on Tuesday.

""In the face of a regional housing crisis, the City of Newark has inexplicably taken a page from the Trump playbook, building a wall to single out and prevent families from seeking housing where they want to live,"" Cohen's statement reads. ""This is wrong, hypocritical, and amounts to nothing short of income-based discrimination. We will continue to fight to ensure that families have the right to seek stable and safe housing.""
Sha-Kira Jones, one of several SOTA program participants named in the lawsuit, said she never wanted to live in New Jersey. She said she felt pressured to move there after living in a shelter for 10 months with her two young children while pregnant at the time, according to the lawsuit. They ended up in a Newark apartment, where the electricity stopped working and all the food in her refrigerator spoiled.

She claims complaints to her landlord were ignored, and New York City officials refused to intervene, according to the suit. She eventually learned she was living in an illegally converted apartment.
Another SOTA recipient -- whose name was not included in the lawsuit because the individual was ""fearful of future reprisal by the Defendants"" -- claimed in the lawsuit that her apartment was rodent- and roach-infested, the bathroom ceiling collapsed and that the heater never worked.

She said she was forced to leave the apartment when Newark city officials told her the building was being condemned.

Loreal Bell, another SOTA recipient, said she was moved into an apartment in Newark that was mice-infested, had faulty wiring and no heat, according to the suit. She claimed that when she complained to officials at the New York Department of Homeless Services, she was told to contact Newark officials.

""Ms. Bell,"" according to the lawsuit, ""feels like she was 'dumped here and is now a Newark problem.'"""
Video shows teen open mosque doors school stabbing,https://abcnews.go.com/US/video-shows-17-year-girl-hold-open-mosque/story?id=67504076,"
A 17-year-old girl is being praised for her ""remarkable"" actions after surveillance video showed her opening her mosque and ushering in students running from an alleged stabbing at their Wisconsin high school.

Duaa Ahmad, a senior at Oshkosh West High School, could be seen holding open the door to Oshkosh Ahmadiyya Muslims mosque and ushering in dozens before she herself went in.

""I just felt like I did what had to be done,"" Ahmad told ABC News in a telephone interview on Wednesday.

Chaos ensued Tuesday morning after a 16-year-old student stabbed a school resource officer, who shot the student once at the high school, which was across from the mosque, according to Oshkosh Chief of Police Dean Smith.

Their injuries are expected to be non-life-threatening, authorities said.
While Ahmad said she felt ""a little fear,"" she was mainly focused on getting everyone inside.

She said that just minutes before, a teacher told students to run from the campus, but they didn't know why.

""It could have been anything. That fact that we didn't know caused even more anxiety,"" Ahmad said.
Yet, thankfully, she and other students exited through a door close to the mosque and everyone beelined toward it.

""I'm lucky that I was in that place when that situation ensued, and I'm just grateful that I was able to enter the code and let as many people in,"" Ahmad said.
While she didn't consider her actions heroic, her father and uncle were stunned when they saw the video.

""When I look at the video now, I feel pride,"" Saad Ahmad, her father, told ABC News.

""Her composure is remarkable in that situation,"" he said. ""I don't know how I would react in that situation.""

He added that while she looked calm, ""she was also scared.""
Duaa Ahmad's uncle, Khurram Ahmad, called it an ""uplifting"" moment in a terrifying situation.

""At first you see it, and you don't consider the subtlety in it that she remained outside,"" her uncle said. ""These are things that cannot be taught.""

He also serves as the public affairs secretary for the Ahmadiyya Muslim Community, to which the Oshkosh mosque belongs.
He said about 100 students from the school ran to the mosque and sought shelter there, thanks to his niece.

""At that moment, it was her alone. Her basic instinct kicked in,"" Khurram Ahmad said.

Duaa Ahmad is now focused on returning to school Friday and moving forward as a community, but she hopes that people will remember how terrifying these situations are.

""You never what that situation's gonna be like,"" she said, ""until you've actually experienced.""

ABC News' Emily Shapiro contributed to this report."
Puppy with tail on his forehead gets adopted,https://abcnews.go.com/US/puppy-named-narwhal-tail-forehead-adopted-founder-missouri/story?id=67470618,"
A ""perfectly healthy"" rescue puppy with a surprising physical feature that makes him extra special has now been adopted by the founder of the organization who made him famous

Narwhal, the 10-week-old furball who has a small tail-like growth on his forehead, was adopted by Rochelle Steffen, the founder of Mac's Mission -- a nonprofit dog rescue that predominately helps pups with special needs
Steffen told ABC News last month that they found the adorable light brown dog, thought to be a dachshund and beagle mix, at a dump site in rural Jackson, Missouri, where she said ""hundreds"" [of dogs] have been dumped.

""He had x-rays and a vet visit ... and is a perfectly healthy puppy, with an extra tail on his face,"" Steffen said. ""There is no medical need to remove it currently and it is a third the size of his actual tail.""
""He is in no pain and plays for hours,"" she added.

A few weeks after the story went viral, Steffen has now decided to house the dog herself.

""I had no intention initially of keeping him,"" Steffen told the Southeast Missourian. ""It’s not just a decision from me. The whole rescue cannot fathom him leaving. We all fell in love with him.""
Steffen told the outlet that the rescue organization received hundreds of applications from people who wanted to rescue the dog, but decided that the dog is no longer for sale.

She also feared the dog might be exploited.

""If somebody is going to make money off of him, I would love to see it go toward the rescue, and save thousands more dogs,"" Steffen said, adding that she plans to train Narwhal as a therapy dog.
Mac's Mission focuses on helping dogs with deformity, clefts and trauma ""since those get euthanized far more than any others and there is a great need to give them a chance,"" Steffens told ABC News. ""We give them that chance.""
Because the nonprofit's life-saving efforts are strictly grassroots through social media, Steffens explained that Narwhal's story getting so much attention has been ""majorly epic for so many new folks to find out about our little awesome rescue.""

""We really love our little Narwhal and the others he is helping here with the attention!""
"
"Mom arrested for tying up son, setting home ablaze",https://abcnews.go.com/US/boy-rescued-house-fire-tied-plastic-bag-head/story?id=67459535,"
A California mother has been charged with felony child endangerment and arson after firefighters discovered her 3-year-old son trapped inside their burning home, which police say she set aflame.

Maricela Magana Ruiz, 47, allegedly left her son alone in a bedroom after putting a plastic bag over his head and tying his hands, according to a press release from the Santa Paula Police Department.

Firefighters discovered the little boy as they were trying to put out the fire on Sunday in the Santa Paula home, authorities said.
Ruiz was also found tied to a bed in the home, according to police.
Both were discovered after she called 911 to report the fire at 6:10 p.m. on Sunday. The little boy was taken to the hospital for smoke inhalation and has since been released to child protective services, authorities said.

Detective Allen Macias told ABC News on Tuesday that he did not know ""what was going through her mind at the time.""
He said that while a concrete motive hasn't been established, Ruiz was going through a ""pretty nasty custody battle"" with the boy's father.

It was not clear how long before she set the house aflame that she called 911, but when firefighters arrived ""all three stories [of the home] were filled with black smoke,"" Macias said.

Ruiz was initially charged with only felony child endangerment, but on Monday night investigators found evidence to charge her with arson as well.

She was booked into the Ventura County Jail. Her bail was initially set at $50,000 for felony child endangerment, but is now at $500,000.
"
